Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
40	1923520	1923520	1923520	1923520	1923520	1923520	1923520	1024
41	2137650	2137650	2137650	2137650	2137650	2137650	2137650	1024
42	2371040	2371040	2371040	2371040	2371040	2371040	2371040	1024
43	2625450	2625450	2625450	2625450	2625450	2625450	2625450	1024
44	2902750	2902750	2902750	2902750	2902750	2902750	2902750	1024
45	3205000	3205000	3205000	3205000	3205000	3205000	3205000	1024
46	3534460	3534460	3534460	3534460	3534460	3534460	3534460	1024
47	3893570	3893570	3893570	3893570	3893570	3893570	3893570	1024
48	4285010	4285010	4285010	4285010	4285010	4285010	4285010	1024
49	4711670	4711670	4711670	4711670	4711670	4711670	4711670	1024
50	5176730	5176730	5176730	5176730	5176730	5176730	5176730	1024
51	5683640	5683640	5683640	5683640	5683640	5683640	5683640	1024
52	6236180	6236180	6236180	6236180	6236180	6236180	6236180	1024
53	6838440	6838440	6838440	6838440	6838440	6838440	6838440	1024
54	7494910	7494910	7494910	7494910	7494910	7494910	7494910	1024
55	8210460	8210460	8210460	8210460	8210460	8210460	8210460	1024
56	8990410	8990410	8990410	8990410	8990410	8990410	8990410	1024
57	9840560	9840560	9840560	9840560	9840560	9840560	9840560	1024
58	10767220	10767220	10767220	10767220	10767220	10767220	10767220	1024
59	11777280	11777280	11777280	11777280	11777280	11777280	11777280	1024
60	12878240	12878240	12878240	12878240	12878240	12878240	12878240	1024
61	14078300	14078300	14078300	14078300	14078300	14078300	14078300	1024
62	15386350	15386350	15386350	15386350	15386350	15386350	15386350	1024
63	16812130	16812130	16812130	16812130	16812130	16812130	16812130	1024
64	18366230	18366230	18366230	18366230	18366230	18366230	18366230	1024
65	20060210	20060210	20060210	20060210	20060210	20060210	20060210	1024
66	21906630	21906630	21906630	21906630	21906630	21906630	21906630	1024
67	23919240	23919240	23919240	23919240	23919240	23919240	23919240	1024
68	26112980	26112980	26112980	26112980	26112980	26112980	26112980	1024
69	28504160	28504160	28504160	28504160	28504160	28504160	28504160	1024
70	31110540	31110540	31110540	31110540	31110540	31110540	31110540	976
71	33951500	33951500	33951500	33951500	33951500	33951500	33951500	928
72	37048140	37048140	37048140	37048140	37048140	37048140	37048140	880
73	40423490	40423490	40423490	40423490	40423490	40423490	40423490	832
74	44102610	44102610	44102610	44102610	44102610	44102610	44102610	784
75	48112850	48112850	48112850	48112850	48112850	48112850	48112850	736
76	52484020	52484020	52484020	52484020	52484020	52484020	52484020	688
77	57248590	57248590	57248590	57248590	57248590	57248590	57248590	640
78	62441970	62441970	62441970	62441970	62441970	62441970	62441970	592
79	68102760	68102760	68102760	68102760	68102760	68102760	68102760	544
80	74273020	74273020	74273020	74273020	74273020	74273020	74273020	496
81	80998600	80998600	80998600	80998600	80998600	80998600	80998600	448
82	88329480	88329480	88329480	88329480	88329480	88329480	88329480	400
83	96320150	96320150	96320150	96320150	96320150	96320150	96320150	352
84	105029970	105029970	105029970	105029970	105029970	105029970	105029970	304
85	114523680	114523680	114523680	114523680	114523680	114523680	114523680	256
86	124871820	124871820	124871820	124871820	124871820	124871820	124871820	192
87	136151290	136151290	136151290	136151290	136151290	136151290	136151290	144
88	148445920	148445920	148445920	148445920	148445920	148445920	148445920	108
89	161847060	161847060	161847060	161847060	161847060	161847060	161847060	81
90	176454300	176454300	176454300	176454300	176454300	176454300	176454300	61
91	192376200	192376200	192376200	192376200	192376200	192376200	192376200	46
92	209731070	209731070	209731070	209731070	209731070	209731070	209731070	35
93	228647870	228647870	228647870	228647870	228647870	228647870	228647870	26
94	249267190	249267190	249267190	249267190	249267190	249267190	249267190	20
95	271742240	271742240	271742240	271742240	271742240	271742240	271742240	15
96	296240060	296240060	296240060	296240060	296240060	296240060	296240060	11
97	322942670	322942670	322942670	322942670	322942670	322942670	322942670	8
98	352048520	352048520	352048520	352048520	352048520	352048520	352048520	6
99	383773900	383773900	383773900	383773900	383773900	383773900	383773900	5
